age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
,Irregular,Moderate,Temperate,Asian,Sour
,Irregular,Light,Cold,Mediterranean,Sweet
31.0,Irregular,,Dry,Asian,Sour
40.0,Night Owl,Moderate,Cold,Mixed,Sour
57.0,Irregular,Heavy,Cold,,Salty
,,Moderate,Cold,Mixed,Salty
,Irregular,,Cold,Mixed,Salty
62.0,Irregular,Heavy,Dry,Mediterranean,Salty
35.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
64.0,Irregular,,Dry,Asian,Sweet
41.0,Irregular,Light,Dry,Mixed,Sour
43.0,Night Owl,Moderate,Dry,Mediterranean,Sour
42.0,Early Bird,Heavy,Dry,Mixed,Salty
62.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
58.0,Irregular,,Cold,,Salty
46.0,Night Owl,Heavy,Tropical,Asian,Sweet
32.0,Night Owl,Moderate,Tropical,Mixed,Sweet
62.0,Irregular,Heavy,Cold,Mediterranean,Salty
18.0,Early Bird,Light,Tropical,Asian,Spicy
42.0,Early Bird,,Dry,Asian,Sour
24.0,Night Owl,Moderate,Dry,Mediterranean,Sweet
26.0,Irregular,Light,Cold,Asian,Sweet
41.0,Night Owl,Moderate,Cold,Mixed,Sour
18.0,Night Owl,Light,Cold,Mixed,Sweet
61.0,Night Owl,Heavy,Dry,Mediterranean,Sour
25.0,Irregular,Light,Cold,Mixed,Sweet
41.0,Irregular,Light,Tropical,Mediterranean,Sweet
28.0,Early Bird,Moderate,Tropical,Asian,Sweet
68.0,Irregular,Heavy,Temperate,Mixed,Salty
34.0,Night Owl,,Temperate,Mediterranean,Sweet
25.0,Night Owl,Heavy,Cold,Mixed,Sweet
52.0,Early Bird,,Temperate,Asian,Sweet
,Irregular,Moderate,Dry,Asian,Sour
50.0,Night Owl,Light,Dry,Mixed,Sweet
,Early Bird,Light,Tropical,,Spicy
59.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
56.0,Night Owl,Light,Temperate,Mixed,Sweet
58.0,Night Owl,Moderate,Temperate,Mixed,Sour
45.0,Irregular,,Dry,Asian,Sour
24.0,Early Bird,Light,Tropical,Mediterranean,Sweet
26.0,Night Owl,Light,Temperate,Mixed,Sweet
,Early Bird,Heavy,Dry,Mixed,Sour
29.0,Irregular,Heavy,Tropical,Asian,Sweet
51.0,Night Owl,Moderate,Dry,Asian,Sweet
50.0,Irregular,,Dry,Mediterranean,Salty
65.0,,Light,Tropical,Mediterranean,Sweet
40.0,Irregular,Moderate,,Asian,Sour
41.0,Irregular,Heavy,Temperate,Mediterranean,Salty
54.0,Early Bird,Moderate,Dry,,Sour
,Irregular,Light,Temperate,Mixed,Sour
61.0,Early Bird,Heavy,Cold,Asian,Sour
57.0,Night Owl,,Cold,,Sweet
39.0,,Light,Cold,Asian,Sweet
44.0,Early Bird,Moderate,,Mixed,Salty
,Night Owl,Moderate,Cold,Mediterranean,Sour
18.0,Early Bird,Moderate,Cold,Mediterranean,Sour
52.0,Night Owl,Heavy,Dry,Mediterranean,Sour
,Night Owl,Heavy,Tropical,Asian,Sweet
,Early Bird,Moderate,Dry,Asian,Sour
31.0,Irregular,Heavy,Temperate,Mediterranean,Salty
20.0,Irregular,Heavy,Dry,Mixed,Sour
18.0,Night Owl,Moderate,Tropical,Mixed,Sweet
22.0,Irregular,Light,Cold,Mixed,Sweet
43.0,Irregular,Heavy,Dry,Mixed,Salty
31.0,Early Bird,,Cold,Asian,Sour
56.0,Night Owl,Light,Temperate,Mediterranean,Sweet
44.0,Night Owl,Light,Tropical,Mixed,Sweet
26.0,Early Bird,Light,Cold,Asian,Sweet
32.0,Irregular,Moderate,Cold,Asian,Sour
32.0,Night Owl,,Cold,Asian,Sweet
43.0,Irregular,Moderate,Cold,Mediterranean,Salty
59.0,Night Owl,Light,Dry,Asian,Sweet
30.0,Night Owl,Light,Tropical,Mediterranean,Spicy
68.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
49.0,Night Owl,Moderate,Cold,Mediterranean,Sour
56.0,Irregular,Light,Tropical,Mediterranean,Sweet
66.0,Irregular,Light,,Asian,Sweet
69.0,Irregular,Light,Temperate,Asian,Sweet
49.0,Irregular,Heavy,Temperate,Asian,Sour
,Early Bird,Light,Temperate,Mixed,Sweet
47.0,Night Owl,Moderate,Tropical,Mixed,Sweet
54.0,,Heavy,,Mediterranean,Sour
40.0,Night Owl,Moderate,Dry,Mediterranean,Sour
56.0,Early Bird,Heavy,Dry,Mediterranean,Salty
62.0,Irregular,Heavy,Temperate,Mediterranean,Salty
32.0,Night Owl,,Temperate,,Sour
60.0,Irregular,,Tropical,Mixed,Sour
46.0,Irregular,Moderate,Dry,Mediterranean,Salty
53.0,Early Bird,Light,Tropical,Asian,Sweet
30.0,Early Bird,Heavy,Temperate,Mediterranean,Sour
49.0,Irregular,Moderate,Cold,Asian,Sour
24.0,Night Owl,Heavy,Cold,Asian,Sweet
68.0,,Moderate,Cold,Asian,Sweet
39.0,Early Bird,Light,Temperate,Asian,Sweet
45.0,Early Bird,Light,Tropical,Mediterranean,Sweet
19.0,Early Bird,Heavy,Cold,Mediterranean,Sour
59.0,Early Bird,Heavy,Dry,Mediterranean,Salty
62.0,Early Bird,Moderate,Dry,Mediterranean,Salty
23.0,Early Bird,Moderate,Temperate,Mediterranean,Sour
45.0,Early Bird,Heavy,Dry,,Salty
45.0,Night Owl,Moderate,Dry,Asian,Sweet
61.0,Early Bird,Moderate,Temperate,Asian,Sour
61.0,Early Bird,Moderate,Tropical,Mixed,Sour
37.0,Night Owl,Heavy,Cold,Mixed,Sour
47.0,Night Owl,Light,Temperate,Mediterranean,Sweet
28.0,Irregular,,Dry,Mediterranean,Sweet
45.0,Early Bird,Moderate,Cold,Asian,Sour
42.0,Early Bird,Heavy,Cold,Mediterranean,Salty
56.0,Early Bird,Moderate,Cold,Asian,Sour
,Early Bird,Light,Temperate,Mediterranean,Sour
18.0,Irregular,Moderate,Cold,,Sour
44.0,Night Owl,Light,Tropical,Asian,Spicy
69.0,Night Owl,Heavy,Dry,,Sour
30.0,,,Temperate,Mixed,Sour
58.0,,Heavy,Temperate,Mediterranean,Salty
20.0,Early Bird,Moderate,Cold,Mixed,Sour
,Irregular,Moderate,Dry,Mediterranean,Salty
23.0,Irregular,Moderate,Cold,Mixed,Sour
25.0,Night Owl,Moderate,Cold,Mixed,Sweet
44.0,Early Bird,Moderate,Temperate,Asian,Sour
26.0,Early Bird,Heavy,Tropical,Mixed,Sweet
54.0,Early Bird,Heavy,Dry,Mediterranean,Salty
,Early Bird,Light,Dry,Asian,Sweet
68.0,Irregular,Moderate,Dry,Mixed,Salty
59.0,Night Owl,Light,Dry,Asian,Sweet
61.0,Night Owl,Heavy,Tropical,Mixed,Sweet
41.0,Irregular,Light,Temperate,Mediterranean,Sour
32.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
49.0,Night Owl,Moderate,Cold,Asian,Sweet
,Night Owl,Light,Temperate,Mixed,Sweet
41.0,Irregular,Light,Tropical,Mixed,Sweet
58.0,Early Bird,Light,Dry,Asian,Sweet
69.0,Night Owl,Light,Dry,Asian,Sweet
66.0,Early Bird,Moderate,Temperate,Mediterranean,Salty
66.0,Night Owl,Heavy,Tropical,Asian,Sweet
69.0,Irregular,Heavy,Temperate,Mixed,Salty
29.0,Early Bird,Moderate,Dry,,Sweet
56.0,Irregular,Heavy,Tropical,Mediterranean,Sour
,Night Owl,,Dry,Asian,Spicy
20.0,Irregular,Moderate,Temperate,Mixed,Sour
66.0,Irregular,Heavy,Temperate,Asian,Sour
54.0,Irregular,Moderate,Temperate,Asian,Sour
,Night Owl,Moderate,Temperate,,Sweet
34.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
66.0,Irregular,Heavy,Cold,Mediterranean,Salty
19.0,,Moderate,Temperate,Mediterranean,Sour
19.0,Night Owl,Moderate,Temperate,Mediterranean,Sweet
45.0,Early Bird,Heavy,Dry,Mixed,Salty
40.0,Irregular,Moderate,Temperate,Mixed,Salty
54.0,Irregular,Heavy,Tropical,Mediterranean,Sour
49.0,Irregular,Moderate,Temperate,Mediterranean,Salty
50.0,Irregular,Moderate,Cold,Mediterranean,Salty
18.0,Irregular,Moderate,Temperate,Asian,Sweet
36.0,Irregular,Heavy,Dry,Mixed,Salty
19.0,Night Owl,Light,Tropical,Asian,Spicy
61.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
43.0,Night Owl,Moderate,Temperate,Mixed,Sour
49.0,Early Bird,Light,Temperate,Mediterranean,Sour
23.0,Early Bird,Light,Temperate,Asian,Sweet
49.0,Night Owl,Moderate,Temperate,Mixed,Sour
21.0,Early Bird,Heavy,Dry,Asian,Sweet
28.0,Early Bird,Light,Dry,Mixed,Sweet
,Irregular,Light,Tropical,Mediterranean,Sweet
55.0,Irregular,Heavy,Temperate,Mixed,Salty
41.0,Early Bird,Heavy,Dry,Asian,Sour
22.0,Early Bird,Light,Dry,Asian,Sweet
69.0,Night Owl,Heavy,Tropical,Asian,Sweet
51.0,Early Bird,Light,Tropical,Asian,Sweet
23.0,,Moderate,,Mediterranean,Sour
39.0,Early Bird,,Dry,Asian,Sour
28.0,,Light,Tropical,Mediterranean,Spicy
65.0,Irregular,,Dry,,Salty
33.0,Irregular,Heavy,,Asian,Sour
50.0,Irregular,Light,Temperate,Mixed,Sour
26.0,Irregular,Moderate,Temperate,Mixed,Sour
23.0,Early Bird,Light,Temperate,Mediterranean,Sweet
33.0,Night Owl,Heavy,Temperate,Asian,Sweet
46.0,Early Bird,Light,Dry,Mediterranean,Sour
20.0,Early Bird,Heavy,Cold,Asian,Sweet
37.0,Irregular,Light,Cold,Mixed,Sour
53.0,Night Owl,Moderate,Cold,Mediterranean,Sour
36.0,Irregular,Moderate,Dry,Asian,Sour
43.0,Early Bird,Moderate,Cold,Mixed,Salty
20.0,Early Bird,Moderate,Dry,Mediterranean,Sour
36.0,Irregular,Light,Tropical,Mediterranean,Sweet
,Early Bird,,Cold,Mediterranean,Salty
49.0,Early Bird,,Dry,Mediterranean,Sour
24.0,Irregular,Heavy,Tropical,,Sweet
69.0,,Heavy,Temperate,Mixed,Salty
58.0,Night Owl,Heavy,Tropical,Mixed,Sweet
50.0,,Moderate,Tropical,Mixed,Sour
57.0,Night Owl,Moderate,Cold,Asian,Sweet
56.0,Early Bird,Moderate,Temperate,Mixed,Salty
35.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
57.0,Irregular,Heavy,Cold,Mediterranean,Salty
18.0,Early Bird,Heavy,Tropical,,Sweet
28.0,Irregular,Heavy,Dry,Mediterranean,Sour
45.0,Irregular,Light,,Asian,Sweet
42.0,Irregular,Light,,Mediterranean,Sweet
67.0,Irregular,Moderate,Dry,Mediterranean,Salty
40.0,Irregular,Moderate,Cold,Mediterranean,Salty
48.0,Night Owl,Heavy,Cold,Mixed,Sour
,Irregular,Light,Temperate,Mixed,Sour
59.0,Night Owl,Light,Temperate,Asian,Sweet
52.0,Early Bird,Moderate,Temperate,Asian,Sour
,Irregular,Light,Dry,Asian,Sweet
33.0,Early Bird,Moderate,Cold,Mediterranean,Salty
43.0,Irregular,Heavy,Temperate,Asian,Sour
65.0,Night Owl,Heavy,Temperate,Mixed,Sour
69.0,Night Owl,Moderate,Cold,Mixed,Sour
66.0,Night Owl,Heavy,Dry,Mixed,Sour
19.0,Early Bird,Heavy,Temperate,Mediterranean,Sour
18.0,Irregular,,Tropical,Mediterranean,Sweet
65.0,Early Bird,Light,Dry,Asian,Sweet
29.0,Night Owl,Light,Temperate,Asian,Spicy
22.0,Early Bird,Light,Tropical,Asian,Spicy
54.0,Night Owl,Light,Temperate,Asian,Sweet
49.0,Night Owl,Moderate,Dry,Mediterranean,Sour
26.0,Night Owl,Moderate,,Mixed,Sweet
,Irregular,Light,Cold,Mediterranean,Sour
52.0,Irregular,Heavy,Dry,Asian,Sour
36.0,Night Owl,Heavy,Temperate,,Sour
65.0,,Moderate,Dry,Mixed,Salty
33.0,Early Bird,Moderate,,Mediterranean,Sour
20.0,Irregular,Moderate,Temperate,Mixed,Sour
37.0,Night Owl,Heavy,Dry,Asian,Sweet
41.0,Early Bird,Moderate,Cold,Mediterranean,Salty
50.0,Night Owl,Heavy,Dry,Asian,Sweet
41.0,Early Bird,Moderate,Temperate,Asian,Sour
69.0,Irregular,Heavy,Dry,Mixed,Salty
28.0,Night Owl,Moderate,,Mixed,Sweet
66.0,Night Owl,Moderate,Tropical,Asian,Sweet
25.0,Early Bird,Heavy,Dry,Mixed,Sour
53.0,Early Bird,Moderate,Dry,Mixed,Salty
55.0,Early Bird,Light,Tropical,Asian,Sweet
57.0,Night Owl,Heavy,Dry,Asian,Sweet
37.0,Irregular,Moderate,Cold,Mixed,Salty
52.0,Irregular,Heavy,Tropical,Asian,Sweet
65.0,Early Bird,Moderate,Cold,Asian,Sour
42.0,Irregular,Light,Cold,Mixed,Sour
52.0,Early Bird,Moderate,,Mediterranean,Salty
42.0,Irregular,Moderate,Temperate,Mediterranean,Salty
46.0,Night Owl,Light,Tropical,Asian,Spicy
35.0,,Heavy,Temperate,,Salty
,Irregular,,Temperate,,Sour
35.0,Night Owl,Moderate,Dry,Mixed,Sour
19.0,Irregular,Light,Tropical,Asian,Spicy
52.0,Night Owl,Heavy,Dry,Asian,Sweet
33.0,Night Owl,Heavy,Temperate,Mixed,Sour
58.0,,Light,Dry,Asian,Sweet
53.0,Irregular,Light,,Mediterranean,Sour
,Night Owl,Moderate,Temperate,Mediterranean,Sour
21.0,Night Owl,Light,Cold,Mixed,Sweet
50.0,Night Owl,Light,Tropical,Asian,Spicy
,Early Bird,Light,Dry,Mediterranean,Sour
38.0,Night Owl,Heavy,Temperate,Mixed,Sour
65.0,Early Bird,Light,Tropical,Mixed,Sweet
37.0,Night Owl,Moderate,Cold,Mixed,Sour
25.0,Early Bird,Moderate,Dry,,Sour
24.0,Night Owl,Moderate,Dry,Mediterranean,Sweet
20.0,Night Owl,Light,Temperate,Mediterranean,Sweet
34.0,Night Owl,Heavy,Dry,Mediterranean,Sour
,Irregular,Light,Dry,Asian,Sweet
65.0,Irregular,Light,Cold,Mediterranean,Sour
,Night Owl,Moderate,Cold,Mixed,Sweet
68.0,Early Bird,Light,Cold,Asian,Sweet
39.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
39.0,Night Owl,Moderate,Tropical,Asian,Sweet
63.0,Irregular,,Dry,Mixed,Salty
47.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
55.0,Irregular,Heavy,Temperate,Asian,Sour
55.0,Early Bird,Light,Cold,Mediterranean,Sour
62.0,Night Owl,Light,Tropical,,Spicy
68.0,Irregular,Light,Dry,Asian,Sweet
25.0,Early Bird,,Cold,Mixed,Sweet
44.0,Night Owl,Moderate,Tropical,Mixed,Sweet
44.0,Night Owl,Light,Cold,,Sweet
51.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
38.0,Irregular,Heavy,Dry,Asian,Sour
47.0,Irregular,Moderate,Tropical,Mixed,Sour
50.0,Night Owl,Light,Tropical,Mixed,Sweet
45.0,Irregular,Moderate,Tropical,Asian,Sweet
,Early Bird,Light,Cold,Mixed,Sour
50.0,,Light,Tropical,Mixed,Sweet
22.0,Night Owl,Moderate,Tropical,Asian,Spicy
65.0,Irregular,Moderate,Tropical,Mediterranean,Sour
,Night Owl,Heavy,Cold,Mediterranean,Sour
21.0,Early Bird,Heavy,Dry,Mediterranean,Sour
52.0,Irregular,Heavy,Dry,Asian,Sour
66.0,Irregular,,Dry,Mediterranean,Salty
34.0,Night Owl,Heavy,Tropical,Asian,Sweet
61.0,Night Owl,Moderate,Cold,Asian,Sweet
45.0,Night Owl,Heavy,,Mixed,Sour
47.0,Irregular,Moderate,Dry,Mixed,Salty
46.0,Night Owl,Heavy,Dry,Mediterranean,Sour
63.0,Early Bird,Light,Temperate,Asian,Sweet
,Night Owl,Heavy,Cold,Mediterranean,Sweet
,Night Owl,Light,Temperate,Mediterranean,Sweet
,Irregular,Moderate,Tropical,Mixed,Sour
,Night Owl,Heavy,,Mediterranean,Sour
41.0,Irregular,Moderate,Tropical,Mediterranean,Sour
46.0,Night Owl,Heavy,Cold,Mixed,Sour
66.0,Early Bird,Moderate,Tropical,,Sour
63.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
48.0,Irregular,Heavy,Dry,Asian,Sour
52.0,Irregular,Light,Cold,Mediterranean,Sour
50.0,Night Owl,Moderate,Tropical,,Sweet
69.0,Night Owl,,Temperate,Mixed,Sour
38.0,Early Bird,Moderate,Dry,Asian,Sour
49.0,Night Owl,Moderate,Temperate,Mixed,Sour
40.0,Early Bird,Moderate,Dry,Mixed,Salty
50.0,Irregular,Light,Tropical,Mixed,Sweet
20.0,Night Owl,Heavy,Dry,Mediterranean,Sweet
35.0,Irregular,Light,Tropical,Asian,Sweet
42.0,Night Owl,,Temperate,Asian,Sweet
59.0,Early Bird,Moderate,Tropical,Asian,Sweet
48.0,Irregular,Heavy,Dry,Asian,Sour
20.0,Irregular,Light,Dry,,Sweet
,Night Owl,Heavy,Dry,Mediterranean,Sour
63.0,Irregular,Heavy,,Mixed,Salty
41.0,Early Bird,Light,Cold,Mixed,Sour
67.0,Irregular,Heavy,Temperate,Mixed,Salty
49.0,Irregular,Light,Tropical,Mixed,Sweet
64.0,Night Owl,Light,Tropical,Asian,Spicy
39.0,Irregular,Moderate,Temperate,Asian,Sour
40.0,Night Owl,Heavy,Temperate,Mediterranean,Sour
19.0,Night Owl,Moderate,Tropical,Mixed,Sweet
,Irregular,,Tropical,Asian,Sweet
59.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
19.0,Night Owl,Moderate,Cold,Mixed,Sweet
43.0,Irregular,,Cold,Mixed,Salty
34.0,Night Owl,,Temperate,Asian,Sweet
57.0,Early Bird,Light,Temperate,Mixed,Sour
50.0,Early Bird,Heavy,Cold,Mixed,Salty
26.0,Night Owl,,Dry,Asian,Spicy
60.0,,Heavy,Cold,Mediterranean,Salty
65.0,Irregular,Heavy,,Mediterranean,Salty
56.0,Irregular,Light,Cold,Asian,Sweet
46.0,Night Owl,Light,Dry,Asian,Sweet
59.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
43.0,Irregular,Moderate,,Mediterranean,Sour
52.0,,Moderate,Temperate,Asian,Sour
67.0,Irregular,Moderate,Cold,Asian,Sour
,,Moderate,Cold,Asian,Sweet
41.0,Night Owl,,Dry,Mixed,Sour
30.0,Irregular,Moderate,Cold,Asian,Sweet
,Irregular,Moderate,Dry,Mixed,Sour
,Early Bird,Moderate,Temperate,Mediterranean,Salty
62.0,Early Bird,Heavy,Cold,Mediterranean,Salty
37.0,Early Bird,Light,Temperate,Asian,Sweet
18.0,Night Owl,Moderate,Tropical,Asian,Spicy
25.0,Irregular,Heavy,Tropical,Mediterranean,Sweet
63.0,Night Owl,Heavy,Dry,Mediterranean,Sour
33.0,Irregular,Moderate,,Mediterranean,Salty
31.0,Early Bird,,Temperate,Mediterranean,Sour
,,Light,,Asian,Sweet
68.0,Early Bird,Light,Cold,Mixed,Sour
40.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
32.0,,Moderate,Cold,Mediterranean,Salty
45.0,Early Bird,Moderate,Cold,Mixed,Salty
51.0,Irregular,Heavy,Tropical,Asian,Sweet
19.0,Irregular,Moderate,Cold,Mixed,Sour
49.0,Night Owl,Moderate,Temperate,Asian,Sweet
40.0,Early Bird,,Cold,Asian,Sweet
39.0,Early Bird,Moderate,Tropical,Asian,Sweet
68.0,Night Owl,Moderate,Tropical,Asian,Sweet
42.0,Irregular,Heavy,Dry,Asian,Sour
39.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
39.0,Irregular,Light,Cold,Asian,Sweet
66.0,Night Owl,Heavy,Temperate,Mediterranean,Sour
69.0,Irregular,Light,Temperate,,Sweet
,Early Bird,,Cold,Mediterranean,Sour
23.0,Irregular,Moderate,Tropical,Mixed,Sweet
32.0,Irregular,Light,Temperate,Mixed,Sour
60.0,Early Bird,Moderate,Dry,Mediterranean,Salty
54.0,Early Bird,Light,Temperate,Asian,Sweet
50.0,Irregular,Heavy,Tropical,Mediterranean,Sour
25.0,Irregular,Heavy,Dry,,Sour
61.0,Night Owl,Heavy,Dry,Asian,Sweet
,Early Bird,Light,Dry,Mixed,Sour
22.0,Irregular,Light,Dry,Mediterranean,Sweet
56.0,Early Bird,Moderate,Cold,Mixed,Salty
21.0,Night Owl,Moderate,Cold,Mixed,Sweet
23.0,Irregular,Moderate,Cold,Mixed,Sour
62.0,Irregular,Moderate,Dry,Mediterranean,Salty
49.0,Irregular,Light,Tropical,Mediterranean,Sweet
69.0,Early Bird,Light,Temperate,Asian,Sweet
47.0,Night Owl,Moderate,Dry,Asian,Sweet
64.0,Early Bird,Light,Tropical,,Sweet
52.0,Irregular,Light,Temperate,Asian,Sweet
57.0,Night Owl,Light,Dry,Mixed,Sweet
69.0,,Light,Temperate,,Sour
33.0,Irregular,,Cold,Mediterranean,Salty
,Early Bird,Moderate,Cold,Mixed,Sour
67.0,Irregular,Light,Cold,Mediterranean,Sour
59.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
47.0,Irregular,Moderate,Cold,Mediterranean,Salty
36.0,Irregular,Moderate,Tropical,Mixed,Sour
34.0,,Heavy,Cold,Mediterranean,Salty
36.0,Night Owl,Moderate,Cold,Mediterranean,Sour
45.0,,Heavy,Cold,Asian,Sour
43.0,Irregular,Heavy,Tropical,Mixed,Sour
54.0,Early Bird,Light,Temperate,Mediterranean,Sour
43.0,Early Bird,Moderate,Tropical,Asian,Sweet
40.0,Early Bird,,Dry,Mediterranean,Salty
26.0,Early Bird,Light,Dry,,Sweet
29.0,Irregular,Moderate,Tropical,Asian,Sweet
,Irregular,Light,,Asian,Spicy
18.0,Night Owl,Light,,Mediterranean,Sweet
64.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
51.0,,Moderate,Cold,Mixed,Salty
49.0,,,Temperate,Mixed,Sweet
65.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
42.0,Night Owl,,Tropical,Asian,Sweet
57.0,Irregular,Light,Dry,Mixed,Sour
62.0,Night Owl,Light,Temperate,Mixed,Sweet
18.0,Early Bird,Heavy,Dry,Asian,Sweet
33.0,Night Owl,Light,Tropical,Mediterranean,Sweet
56.0,Irregular,Light,Temperate,Mixed,Sour
22.0,Early Bird,Moderate,Cold,,Sweet
39.0,Irregular,Heavy,Tropical,Mixed,Sour
46.0,Irregular,Light,Tropical,Asian,Sweet
20.0,Night Owl,Heavy,Dry,Mixed,Sweet
29.0,Irregular,Moderate,Cold,Mediterranean,Sour
43.0,,Heavy,Tropical,Asian,Sweet
33.0,Irregular,Heavy,Dry,,Salty
68.0,Irregular,Heavy,Dry,Mixed,Salty
54.0,Night Owl,Moderate,Tropical,Asian,Sweet
39.0,Irregular,Moderate,Temperate,Asian,Sour
46.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
31.0,Night Owl,Heavy,Cold,Asian,Sweet
45.0,Early Bird,Moderate,Tropical,Mixed,Sour
22.0,Early Bird,Light,Temperate,Mediterranean,Sweet
